receptor,ligand,n_db,m_r_score,m_l_score,m_r_lfc,m_l_lfc,h_r_score,h_l_score,h_r_lfc,h_l_lfc,m_strict,h_strict,conservation,m_mismatch_score,h_mismatch_score,avg_mismatch_score
ITGB3,ANGPTL3,4,13.35,-0.04,4.57,-1.39,0.53,0.08,0.295,4.3209,trend,no,mouse_only,0.0335,0.0,0.0167
FGFR1,ANOS1,4,9.19,,-25.93,,7.1,-2.28,0.5478,-0.4339,no_data,trend,human_only,0.0,0.0234,0.0117
SDC2,ANOS1,4,-53.81,,-199.44,,0.44,-2.28,-0.0586,-0.4339,no_data,trend,human_only,0.0,0.0068,0.0034
DYSF,ANXA1,4,26.39,-14.03,7.92,-68.39,0.52,-6.85,0.1832,-0.6591,yes,trend,CONSERVED_relaxed,0.101,0.0184,0.0597
EGFR,ANXA1,4,36.78,-14.03,9.12,-68.39,-0.87,-6.85,-0.0943,-0.6591,yes,no,mouse_only,0.127,0.0,0.0635
FPR1,ANXA1,5,-0.05,-14.03,-2.9,-68.39,0.56,-6.85,1.0317,-0.6591,no,trend,human_only,0.0,0.0185,0.0093
FPR2,ANXA1,5,-0.03,-14.03,-1.93,-68.39,-0.09,-6.85,-0.4192,-0.6591,no,no,neither,0.0,0.0,0.0
FPR3,ANXA1,5,,-14.03,,-68.39,-0.11,-6.85,-0.4439,-0.6591,no_data,no,neither,0.0,0.0,0.0
APLNR,APELA,3,-3.18,-0.68,-15.1,-2.69,-0.02,-0.04,-0.0842,-20.0337,no,no,neither,0.0,0.0,0.0
APLNR,APLN,5,-3.18,2.03,-15.1,-2.14,-0.02,0.78,-0.0842,2.0482,no,no,neither,0.0,0.0,0.0
LDLR,APOB,4,3.77,0.02,-11.72,21.07,0.49,-0.02,0.1358,-0.1259,no,trend,human_only,0.0,0.0013,0.0006
LRP2,APOB,4,-4.47,0.02,-3.07,21.07,1.3,-0.02,0.123,-0.1259,no,trend,human_only,0.0,0.0033,0.0016
LSR,APOB,4,-15.83,0.02,-15.69,21.07,-0.06,-0.02,-0.1566,-0.1259,no,no,neither,0.0,0.0,0.0
OLR1,APOB,4,0.18,0.02,-0.31,21.07,-1.05,-0.02,-2.507,-0.1259,no,no,neither,0.0,0.0,0.0
LEPR,APOD,4,-6.41,-21.88,-14.72,-80.3,2.49,0.01,0.2785,-0.1422,no,no,neither,0.0,0.0,0.0
LDLR,APOE,4,3.77,,-11.72,,0.49,0.27,0.1358,0.0315,no_data,no,neither,0.0,0.0,0.0
LRP1,APOE,4,-46.22,,-169.36,,11.54,0.27,0.9567,0.0315,no_data,no,neither,0.0,0.0,0.0
LRP2,APOE,4,-4.47,,-3.07,,1.3,0.27,0.123,0.0315,no_data,no,neither,0.0,0.0,0.0
LRP5,APOE,4,22.27,,1.94,,2.13,0.27,0.4678,0.0315,no_data,no,neither,0.0,0.0,0.0
LRP8,APOE,4,3.76,,1.57,,0.43,0.27,0.8571,0.0315,no_data,no,neither,0.0,0.0,0.0
SCARB1,APOE,4,8.57,,-2.83,,-4.24,0.27,-0.5261,0.0315,no_data,no,neither,0.0,0.0,0.0
SORL1,APOE,4,-1.02,,-2.45,,0.34,0.27,0.0593,0.0315,no_data,no,neither,0.0,0.0,0.0
VLDLR,APOE,4,-1.07,,-11.18,,2.11,0.27,0.5244,0.0315,no_data,no,neither,0.0,0.0,0.0
CAV1,APP,4,13.03,59.18,-61.47,153.17,3.54,2.84,0.2573,0.1849,no,no,neither,0.0,0.0,0.0
CD74,APP,5,-4.89,59.18,-79.48,153.17,1.58,2.84,0.175,0.1849,no,no,neither,0.0,0.0,0.0
FPR2,APP,5,-0.03,59.18,-1.93,153.17,-0.09,2.84,-0.4192,0.1849,no,no,neither,0.0,0.0,0.0
GPC1,APP,4,25.59,59.18,10.1,153.17,1.73,2.84,0.629,0.1849,no,no,neither,0.0,0.0,0.0
LRP1,APP,4,-46.22,59.18,-169.36,153.17,11.54,2.84,0.9567,0.1849,no,no,neither,0.0,0.0,0.0
NCSTN,APP,4,25.48,59.18,-4.4,153.17,1.4,2.84,0.4248,0.1849,no,no,neither,0.0,0.0,0.0
TNFRSF21,APP,5,-7.85,59.18,-18.12,153.17,2.42,2.84,0.3323,0.1849,no,no,neither,0.0,0.0,0.0
EGFR,AREG,5,36.78,0.46,9.12,0.64,-0.87,-4.69,-0.0943,-2.3182,no,no,neither,0.0,0.0,0.0
ERBB3,AREG,4,0.05,0.46,-0.74,0.64,0.01,-4.69,-0.0146,-2.3182,no,trend,human_only,0.0,0.0117,0.0059
CHRM3,ARF1,4,-1.39,-2.87,-3.9,-25.04,-16.37,2.18,-1.1645,0.2306,no,no,neither,0.0,0.0,0.0
INSR,ARF1,4,13.64,-2.87,0.6,-25.04,4.49,2.18,0.2877,0.2306,yes,no,mouse_only,0.0413,0.0,0.0206
PLD2,ARF1,4,14.98,-2.87,0.99,-25.04,0.2,2.18,0.0901,0.2306,yes,no,mouse_only,0.0446,0.0,0.0223
GFRA1,ARTN,4,-13.65,2.48,-23.87,0.99,3.79,0.02,0.6879,0.3004,no,no,neither,0.0,0.0,0.0
GFRA3,ARTN,4,-0.3,2.48,-3.28,0.99,0.18,0.02,1.0919,0.3004,no,no,neither,0.0,0.0,0.0
RET,ARTN,4,-24.48,2.48,-27.71,0.99,0.15,0.02,1.3497,0.3004,no,no,neither,0.0,0.0,0.0
ATRN,ASIP,4,30.54,,7.97,,1.33,0.56,0.0731,0.6762,no_data,no,neither,0.0,0.0,0.0
F11R,ASIP,4,-15.15,,-25.07,,0.29,0.56,0.0321,0.6762,no_data,no,neither,0.0,0.0,0.0
MC1R,ASIP,5,0.88,,0.49,,-0.03,0.56,-0.1051,0.6762,no_data,no,neither,0.0,0.0,0.0
MC2R,ASIP,4,-0.12,,-2.38,,-0.0,0.56,-16.743,0.6762,no_data,no,neither,0.0,0.0,0.0
MC3R,ASIP,4,,,,,,0.56,,0.6762,no_data,no,neither,0.0,0.0,0.0
MC4R,ASIP,4,-0.02,,-2.94,,0.03,0.56,2.3661,0.6762,no_data,no,neither,0.0,0.0,0.0
MC5R,ASIP,4,1.26,,2.13,,,0.56,,0.6762,no_data,no,neither,0.0,0.0,0.0
