gene,pct_quiescent,pct_activated,odds_ratio,log_or,fisher_p
MIR1302-2HG,0.0,0.0,,-10.0,1.0
FAM138A,0.0,0.0,,-10.0,1.0
OR4F5,0.0,0.0,,-10.0,1.0
ENSG00000239945,0.0,0.0,,-10.0,1.0
ENSG00000239906,0.0,0.0,,-10.0,1.0
ENSG00000241860,0.00914260229680009,0.008403361344537815,0.9184580405126085,-0.0850590579914427,0.8847138961296299
ENSG00000241599,0.0,0.0,,-10.0,1.0
ENSG00000286448,0.0002229902999219534,0.001292824822236587,5.803883495145631,1.7585272616202017,0.10574869062515427
ENSG00000236601,0.0,0.0,,-10.0,1.0
OR4F29,0.0,0.0,,-10.0,1.0
ENSG00000235146,0.0,0.001292824822236587,inf,inf,0.021629174717709324
OR4F16,0.0,0.0,,-10.0,1.0
ENSG00000229905,0.0001114951499609767,0.0,0.0,-10.0,1.0
LINC01409,0.08573977031999108,0.08403361344537816,0.9782751339163217,-0.02196432548839749,0.8825686720941601
FAM87B,0.0002229902999219534,0.0006464124111182935,2.90006468305304,1.064733041244735,0.37961831757570585
LINC01128,0.04158769093544431,0.03425985778926956,0.817547221953049,-0.2014466140220553,0.1851218632882446
LINC00115,0.005909242947931765,0.005817711700064641,0.9844198542581643,-0.01570279177573225,1.0
FAM41C,0.0002229902999219534,0.0006464124111182935,2.90006468305304,1.064733041244735,0.37961831757570585
ENSG00000272438,0.0017839223993756273,0.0019392372333548805,1.0872328367875648,0.08363578647776297,0.752451594601776
LINC02593,0.006355223547775672,0.004524886877828055,0.7106858054226475,-0.3415248520198465,0.4808599353995021
SAMD11,0.020738097892741666,0.017453135100193924,0.8387839558573854,-0.17580210763207685,0.435393226820568
NOC2L,0.05953841007916156,0.056884292178409825,0.952733004238191,-0.04842057802470533,0.7263344188488108
KLHL17,0.009923068346526925,0.007110536522301228,0.7145365168539326,-0.336121174655171,0.3932330806033647
PLEKHN1,0.011484000445980599,0.005817711700064641,0.5037054805762117,-0.6857635456540069,0.04397956321155637
PERM1,0.009923068346526925,0.007756948933419522,0.7800021959521283,-0.24845854397922126,0.4823543549062782
ENSG00000272512,0.0015609320994536737,0.003232062055591467,2.074068927181768,0.7295123431903792,0.18414017268084684
HES4,0.027539302040361244,0.004524886877828055,0.1605079131394921,-1.829412034577627,2.404627002481079e-10
ISG15,0.04894637083286877,0.031027795733678087,0.6221915597490202,-0.47450725978415337,0.001610886394390166
ENSG00000224969,0.0003344854498829301,0.0006464124111182935,1.9331608451918931,0.6591564068999078,0.4709081932258898
AGRN,0.008585126546995206,0.014867485455720749,1.742816238879231,0.5555023329129615,0.023127002330286507
ENSG00000242590,0.0,0.0,,-10.0,1.0
ENSG00000273443,0.0,0.0,,-10.0,1.0
RNF223,0.0,0.0,,-10.0,1.0
C1orf159,0.09365592596722043,0.11441499676793794,1.2502893639207509,0.22337501566087162,0.011887613230161886
ENSG00000285812,0.006912699297580555,0.02262443438914027,3.3254928315412187,1.2016178831367132,1.360708581636994e-07
LINC01342,0.023859962091649013,0.023917259211376857,1.0024602339543232,0.0024572125333551255,1.0
ENSG00000272141,0.0027873787490244172,0.002585649644473174,0.9274400518470513,-0.07532712071659052,1.0
TTLL10-AS1,0.0001114951499609767,0.0,0.0,-10.0,1.0
TTLL10,0.0008919611996878136,0.0019392372333548805,2.1764086787564767,0.7776761232877718,0.2123899949529322
TNFRSF18,0.0001114951499609767,0.0,0.0,-10.0,1.0
TNFRSF4,0.0021184078492585572,0.003878474466709761,1.834079032753851,0.6065424660103998,0.24997569588086044
SDF4,0.08507079942022522,0.08274078862314156,0.9701403070295752,-0.03031457152275111,0.8048008849590191
B3GALT6,0.013713903445200133,0.01809954751131222,1.3256903075943203,0.2819333106352857,0.2017614491200542
C1QTNF12,0.0024528932991414874,0.001292824822236587,0.5264489555751691,-0.6416009025826205,0.5651322418598647
ENSG00000260179,0.0003344854498829301,0.001292824822236587,3.868824163969795,1.3529506272753746,0.15945270423062768
UBE2J2,0.07815810012264467,0.08468002585649645,1.0911651635677846,0.08724608271455533,0.38589859158522277
LINC01786,0.0078046604972683686,0.006464124111182934,0.8271214796914211,-0.18980370273704694,0.750676349363709
SCNN1D,0.012933437395473297,0.02068519715578539,1.612017753499488,0.47748665736094154,0.02544857846464857
ACAP3,0.1344631508529379,0.10730446024563671,0.7737429194841626,-0.25651560593419925,0.0032289450741723544
PUSL1,0.013713903445200133,0.007756948933419522,0.5622308731230635,-0.5758427071774426,0.0652711034859502
INTS11,0.07336380867432267,0.09631544925662573,1.346190389222989,0.2972786693794127,0.0022531871163894174
ENSG00000240731,0.0,0.0,,-10.0,1.0
CPTP,0.01661277734418553,0.023270846800258566,1.4103287302510894,0.34382281923874836,0.07436774277608119
TAS1R3,0.0,0.0,,-10.0,1.0
DVL1,0.039357787936224777,0.04201680672268908,1.0705233338303266,0.06814762594253272,0.6218048700239123
MXRA8,0.022522020292117292,0.056884292178409825,2.61774306286009,0.9623125201428017,5.5435209422158955e-12
AURKAIP1,0.14427472404950384,0.13510019392372333,0.9264762281011821,-0.07636689132881079,0.36563714810399817
CCNL2,0.1632288995428699,0.1700064641241112,1.0500267053095689,0.0488155974741636,0.5037509745897578
MRPL20-AS1,0.010703534396253763,0.010342598577892695,0.9659264097539735,-0.03466762805040094,1.0
MRPL20,0.14750808339837218,0.14285714285714285,0.963214915595868,-0.03747871908665253,0.6687747883009241
MRPL20-DT,0.0031218641989073474,0.002585649644473174,0.8277937228034441,-0.1889912826831561,1.0
ANKRD65,0.0034563496487902776,0.0019392372333548805,0.56021226809293,-0.5794395169083612,0.46753113261023294
ANKRD65-AS1,0.0002229902999219534,0.0,0.0,-10.0,1.0
TMEM88B,0.0,0.0,,-10.0,1.0
LINC01770,0.0001114951499609767,0.0,0.0,-10.0,1.0
VWA1,0.008139145947151299,0.007756948933419522,0.9526750256570434,-0.04848143489132472,1.0
